ercc_id,biosample_id,treatment,length,GC,assay_id,amplicon_length
ERCC-00002,E01JH0017,Post,1061,0.53,Ac03459872_a1,69
ERCC-00012,E01JH0004,Post,994,0.52,Ac03459877_a1,77
ERCC-00034,E01JH0011,Pre,1019,0.5,Ac03459987_a1,58
ERCC-00035,E01JH0038,Post,1130,0.52,Ac03459892_a1,65
ERCC-00057,E01JH0016,Pre,1021,0.51,Ac03460000_a1,78
ERCC-00084,E01JH0004,Pre,994,0.52,Ac03459922_a1,63
ERCC-00092,E01JH0038,Pre,1124,0.51,Ac03459925_a1,87
ERCC-00108,E01JH0016,Post,1022,0.5,Ac03460028_a1,74
ERCC-00130,E01JH0017,Pre,1059,0.47,Ac03460039_a1,72
ERCC-00157,E01JH0011,Post,1019,0.51,Ac03459958_a1,71
